"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_fia" "ABAM" "ABCO" "ABGR" "ABPR" "CHLA" "CHNO" "CADE27" "PISI" "PIAT" "PICO" "PILA" "PIMO3" "PIPO" "PSME" "SESE3" "TABR2" "THPL" "TOCA" "TSHE" "TSME" "POTR5" "POBAT" "QUGA4"
586473 -122.86 46.23 210 1.14 "under_thresh" -10 157.590804446395 86473 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
570747 -122.56 43.78 549 1.14 "under_thresh" -349 418.763734801148 70747 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
582390 -122.52 45.52 91 1.14 "under_thresh" 109 226.484473532749 82390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586237 -122.87 46.19 180 1.14 "under_thresh" 20 161.984313943763 86237 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
573685 -122.28 44.16 399 1.15 "under_thresh" -199 375.020963649201 73685 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0
573906 -122.81 44.19 213 1.15 "under_thresh" -13 376.050814242293 73906 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
575788 -122.95 44.44 323 1.15 "under_thresh" -123 350.665671436394 75788 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
573392 -122.8 44.12 213 1.15 "under_thresh" -13 383.615213855121 73392 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
585726 -122.84 46.1 150 1.15 "under_thresh" 50 170.407713219075 85726 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
586873 -122.66 46.3 240 1.15 "under_thresh" -40 144.769373122928 86873 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
586764 -122.81 46.28 150 1.15 "under_thresh" 50 150.968456330121 86764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
586319 -123.16 46.2 60 1.16 "under_thresh" 140 170.920346871682 86319 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
572140 -122.48 43.95 521 1.16 "under_thresh" -321 399.375921340268 72140 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
574124 -122.77 44.22 427 1.16 "under_thresh" -227 372.269758761473 74124 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
588479 -122.55 46.63 310 1.16 "under_thresh" -110 107.409560587208 88479 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
588250 -122.65 46.58 270 1.16 "under_thresh" -70 115.472141316222 88250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
574749 -122.88 44.3 411 1.17 "under_thresh" -211 364.917258802593 74749 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
571467 -122.95 43.87 488 1.17 "under_thresh" -288 412.951990828904 71467 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0
594120 -121.9 47.7 100 1.17 "under_thresh" 100 21.4652441270872 94120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
588210 -122.63 46.57 210 1.17 "under_thresh" -10 115.889437157262 88210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
589429 -123.17 46.81 30 1.17 "under_thresh" 170 117.526246357128 89429 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
587862 -123.12 46.5 120 1.17 "under_thresh" 80 141.121567430202 87862 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0
570999 -122.41 43.81 549 1.17 "under_thresh" -349 414.458171750944 70999 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0
