"PointID" "long" "lat" "elev" "Edist" "Edist_thresh" "elev_diff" "km" "PointID_biome" "zone" "biome_description"
419878 -122.26 49.1 1 1.28 "under_thresh" 199 175.410723530735 1560702 36 "Sitka_Coastal_Conifer_Forest"
149376 -123.22 43.92 244 1.28 "under_thresh" -44 411.666391463631 479373 31 "Oregonian_Coastal_Conifer_Forest"
149678 -122.57 45.62 90 1.28 "under_thresh" 110 216.21800192522 480560 31 "Oregonian_Coastal_Conifer_Forest"
419891 -121.95 49.12 18 1.28 "under_thresh" 182 176.946952212991 1560768 36 "Sitka_Coastal_Conifer_Forest"
149257 -123.91 43.14 184 1.29 "under_thresh" 16 509.489937180226 478859 31 "Oregonian_Coastal_Conifer_Forest"
149975 -122.96 47.01 122 1.29 "under_thresh" 78 90.7907703774158 481746 31 "Oregonian_Coastal_Conifer_Forest"
417168 -122.22 49.11 5 1.29 "under_thresh" 195 176.261413835804 1549838 36 "Sitka_Coastal_Conifer_Forest"
417172 -122.24 49.13 1 1.29 "under_thresh" 199 178.599113146659 1549856 36 "Sitka_Coastal_Conifer_Forest"
148364 -122.74 43.33 332 1.29 "under_thresh" -132 470.003200349838 475174 32 "Cascade-Sierran_Montane_Conifer_Forest"
149326 -123 43.66 583 1.29 "under_thresh" -383 436.629282066023 479182 31 "Oregonian_Coastal_Conifer_Forest"
148888 -121.96 47.88 129 1.29 "under_thresh" 71 39.3472332677509 477403 32 "Cascade-Sierran_Montane_Conifer_Forest"
149562 -122.7 44.97 372 1.29 "under_thresh" -172 289.114357731984 480101 31 "Oregonian_Coastal_Conifer_Forest"
149880 -122.65 46.57 151 1.29 "under_thresh" 49 116.491141236794 481344 31 "Oregonian_Coastal_Conifer_Forest"
149359 -123 43.79 287 1.29 "under_thresh" -87 422.394173405146 479278 31 "Oregonian_Coastal_Conifer_Forest"
417141 -122.14 48.99 1 1.29 "under_thresh" 199 162.56738383832 1549732 36 "Sitka_Coastal_Conifer_Forest"
417167 -122.25 49.11 9 1.29 "under_thresh" 191 176.448951449581 1549836 36 "Sitka_Coastal_Conifer_Forest"
419880 -121.95 49.1 28 1.29 "under_thresh" 172 174.724172051479 1560715 36 "Sitka_Coastal_Conifer_Forest"
417180 -122.14 49.15 1 1.29 "under_thresh" 199 180.341991814805 1549889 36 "Sitka_Coastal_Conifer_Forest"
149317 -123.09 43.58 598 1.3 "under_thresh" -398 446.636967230541 479122 31 "Oregonian_Coastal_Conifer_Forest"
417183 -121.82 49.15 14 1.3 "under_thresh" 186 180.87251681198 1549898 36 "Sitka_Coastal_Conifer_Forest"
